Tweet,UserHandle,Party,Issue,Stance
gst demonetisation helped india in getting higher rating by the international rating agency moodys it will gst demonetisation helped india in getting higher rating by the international rating agency moodys it will help our nation in getting cheaper foreign funds increase foreign investors confidence which will result in more jobs and business opportunities my,SharmaKhemchand,BJP,GST,Agreement
significant rise in easeofdoingbusiness ranking pew latest report now moody s upgrade of indian significant rise in easeofdoingbusiness ranking pew latest report now moody s upgrade of indian govs sovereign rating to baa2 after where r those who asked abt reforms acchedin pm USER_MENTION gov has put indianeconomy on fast track,SharmaKhemchand,BJP,acchedin,Agreement
USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION i thanks pm USER_MENTION ji his cabinet for approving creation of national antiprofiteering authority naa under gst naa will ensure benefits of reduction in gst rates are passed on to ultimate consumers by way of reduced prices.plz read,SharmaKhemchand,BJP,GST,Agreement
i thanks pm USER_MENTION ji his cabinet for approving creation of national antiprofiteering authority naa i thanks pm USER_MENTION ji his cabinet for approving creation of national antiprofiteering authority naa under gst naa will ensure benefits of reduction in gst rates are passed on to ultimate consumers by way of reduced prices.plz read,SharmaKhemchand,BJP,GST,Agreement
we welcome initiative taken by anybody including USER_MENTION ji and shiawaqtboard on ayodhya more than cr hindus and many others are demanding that shri ramtemple must be build at his janm bhumi sthan and no mosque nearby temple and no babri mosque anywhere in,SharmaKhemchand,BJP,Ram Mandir,Agreement
japan to relax visa regime for indians from january good news for it industry and it workers thanks USER_MENTION ji USER_MENTION ji USER_MENTION ji acchedin seedhasamvad URL,SharmaKhemchand,BJP,acchedin,Agreement
isupport concerns of my thousands fellow citizens from across the india on padmavati should not be misrepresented just for fun.i apeal USER_MENTION USER_MENTION ji to get objectionable contents out of the movie or completly ban it.nothing above our culture,SharmaKhemchand,BJP,Padmavati film screening,Agreement
amu profs wife threatens suicide with kids says victim of triple talaq amu professer is making funny excuses dat she is not graduate hidden many things so he will give her tripletalaq despite sc judgment such person must be punished USER_MENTION URL,SharmaKhemchand,BJP,Triple Talaq SC verdict,Agreement
items moved from to gst slab changes will be applicable from november emo_neg fm arun jaitley USER_MENTION gstcouncilmeet isupportgst,SharmaKhemchand,BJP,GST,Agreement
bjp sympathizers do not support yashwant sinha s criticism of fm USER_MENTION ji over gst since these r more personal rather public we also appreciate gstcouncil pm USER_MENTION ji simplifying gstfornewindia as per feedback received from public through seedhasamvad,SharmaKhemchand,BJP,GST,Agreement
nia seizes demonetised currency worth rs arrests p in kashmir terror funding casegood job demowins antiblackmoneyday,SharmaKhemchand,BJP,Demonetisation,Agreement
demowins demonetization lead to indias highest ever unearthing of black money,SharmaKhemchand,BJP,Demonetisation,Agreement
demonetisation gst crackdown on shell companies govts initiatives the massive cleansing of indias demonetisation gst crackdown on shell companies govts initiatives the massive cleansing of indias financial system,SharmaKhemchand,BJP,GST,Agreement
demonitization expedited pace of digitization says bankers fightagainstcorruption demonetisation digitisation banking,SharmaKhemchand,BJP,Demonetisation,Agreement
relief taxpayers govt waives fine for delayed filing of aug sept gst returns thanks USER_MENTION ji finance minister arun jaitely,SharmaKhemchand,BJP,GST,Agreement
aug iip at high of consumer inflation cpi down to in sept.economy reviving USER_MENTION,SharmaKhemchand,BJP,Inflation control,Agreement
modi govt reduces excise duty by rs per litre on petrol diesel kejriwal must reduce vat in delhi as goa,SharmaKhemchand,BJP,hike in oil prices,Agreement
govt reduces basic excise duty by rs2 per litre on petrol diesel both USER_MENTION USER_MENTION ji,SharmaKhemchand,BJP,hike in oil prices,Agreement
submitting submission to the great souls on the lal bahadur shastri jubilee and gandhijayanti this day inspires us for swachhatahiseva pic.twitter.com,SharmaKhemchand,BJP,Swacch Bharat,Agreement
sir we warmly welcome your support on swachhatahiseva and thank you bharat mata ki jai i extend my full support to our hon prime minister USER_MENTION jis swachhatahiseva mission cleanliness is godliness,SharmaKhemchand,BJP,Swacch Bharat,Agreement
USER_MENTION bhai my math is good you may check below.delhi gov is getting abt rs as state tax rs kejriwal ji ur gov gets rs on letter of petrol if u r serious abt petrolprices must reduced ur kitty as goa URL,SharmaKhemchand,BJP,GST,Agreement
jai mata di let us all be determined that by this time we will pay tribute to the swachhatahiseva in the religious place happynavratripic.twitter.com xfjqqpsttx,SharmaKhemchand,BJP,Swacch Bharat,Agreement
kejriwal ji ur gov gets rs on letter of petrol if u r serious abt petrolprices must reduced ur kitty as goa,SharmaKhemchand,BJP,hike in oil prices,Agreement
no politics or religion is involved in central stand on rohingyas issue bjp js shri ram madhav ji USER_MENTION,SharmaKhemchand,BJP,Rohingyas,Disagreement
USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION plz read my interview published in a prominent new paper desi talk chicago on demonetisation in success or a failure,SharmaKhemchand,BJP,Demonetisation,Agreement
USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION plz read my interview published in a prominent new paper desi talk chicago on demonetisation in success or a failure,SharmaKhemchand,BJP,Demonetisation,Agreement
plz read my interview published in a prominent new paper desi talk chicago on demonetisation in plz read my interview published in a prominent new paper desi talk chicago on demonetisation in success or a failure,SharmaKhemchand,BJP,Demonetisation,Agreement
plz watch seedhasamvad with namovolunteers namowarriors bjpworkers on swachhatahiseva bjpdevelopingdelhi,SharmaKhemchand,BJP,Swacch Bharat,Agreement
bjpdevelopingdelhi thanks USER_MENTION ji USER_MENTION ji granting cr to mcd garbage treatment plants swachhatahiseva URL,SharmaKhemchand,BJP,Swacch Bharat,Agreement
demonetisationsuccess my views success or failure of demonetization based on the amount of money returned are illinformed ignorant my views URL,SharmaKhemchand,BJP,Demonetisation,Agreement
USER_MENTION USER_MENTION you are absolutely right about to was fake currency in circulation which is success or failure of demonetization based on the amount of money returned are illinformed ignorant my views URL,SharmaKhemchand,BJP,Demonetisation,Agreement
success or failure of demonetization based on the amount of money returned are illinformed ignorant my views,SharmaKhemchand,BJP,Demonetisation,Agreement
due to demonetisation forcing money come back will get penalty tax on the unaccounted money catch habitual offenders,SharmaKhemchand,BJP,GST,Agreement
did modi govt ever claim that a significant amount of notes may not return back then how is demonetisation judged on this metric,SharmaKhemchand,BJP,Demonetisation,Agreement
as a result of lac new tax payers have been indicates better compliance better tax revenues the govt,SharmaKhemchand,BJP,GST,Agreement
money trails generated as a result of demonetization has resulted in identification on lakh shell companies,SharmaKhemchand,BJP,Demonetisation,Agreement
comments on the success or failure of demonetization based on the amount of money returned are illinformed ignorant,SharmaKhemchand,BJP,Demonetisation,Agreement
heartfelt good luck on liberation from nonhuman traditions like tripletalaq to muslim mother sisters amp thanks to USER_MENTION ji,SharmaKhemchand,BJP,Triple Talaq SC verdict,Agreement
most of the so called secular countries do not allow tripletalaq except india it must stop here also land of law must be common all,SharmaKhemchand,BJP,Triple Talaq SC verdict,Agreement
i am happy when someone tells me how poor things are done due to gst pm USER_MENTION g sankalpsesiddhi USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
women who went through tripletalaq domestic violence send rakhi to USER_MENTION ji to seek justice isupport them,SharmaKhemchand,BJP,Triple Talaq SC verdict,Agreement
the congress minister from karnataka against whom income tax department is carrying out searches for economic offences seedhasamvad,SharmaKhemchand,BJP,GST,Agreement
income tax department raids eagleton golf resort in bengaluru where congress gujarat mlas are staying abkibaar400paar,SharmaKhemchand,BJP,GST,Agreement
modifor2019 is the buzz among youth womens minority womens because of tripletalaq scst obc and farmers,SharmaKhemchand,BJP,reservation,Agreement
ayodhya dispute will soon hear supreme court credit goes to swamy39 ji for his efforts we all are waiting to see rammandir soon,SharmaKhemchand,BJP,Ram Mandir,Agreement
rbi makes card and online payments safer customer liability cut acchedin good step by rti under fm USER_MENTION,SharmaKhemchand,BJP,acchedin,Agreement
gst will have three components central gst state gst and integrated gst gst_ delhi,SharmaKhemchand,BJP,GST,Agreement
fm USER_MENTION will live at gst delhi address at talkatora stadium on july at pm take the time you came and USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
gst bill passed in assembly whole country under gst now one nation one tax,SharmaKhemchand,BJP,GST,Agreement
now only five percent of taxed food products will be taxed first percent tax was charged teamindia4gst USER_MENTION USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
cheaper from gst butter ghee almonds fruit juice canned coconut water pickle marmalade chutney jam teamindia4gst USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
electronic goods will be cheaper than gst will come on the face of common man teamindia4gst USER_MENTION USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
small restaurant merchants will come from gst good day hotel cooked cheaper teamindia4gst,SharmaKhemchand,BJP,GST,Agreement
new indias dream will come true from gst now one country one tax and countrys advancement teamindia4gst USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
teamindia4gst plz watch a prominant nri on gst plz watch prominent nri shri chitranjan desai ji on advantages of gst seedhasamvad gstforcommonman gstfornewindia URL,SharmaKhemchand,BJP,GST,Agreement
us rolls out expedited entry for lowrisk indian travellers acchedin USER_MENTION,SharmaKhemchand,BJP,acchedin,Agreement
plz watch prominent nri shri chitranjan desai ji on advantages of gst seedhasamvad gstforcommonman gstfornewindia,SharmaKhemchand,BJP,GST,Agreement
debunking gst myths plz read and share gstforcommonman,SharmaKhemchand,BJP,GST,Agreement
no tax will be levied on the trains general bins sleeper and general bus gstfornewindia USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
gst will cost per cent tax on rupees lower priced film tickets now it is per cent gstfornewindia USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
in the gst app taxi has been kept in the category of five per cent just percent tax takes place gstfornewindia USER_MENTION,SharmaKhemchand,BJP,GST,Agreement
i welcome gstfornewindia congrats to pm USER_MENTION ji USER_MENTION ji USER_MENTION ji successful rollout of futuristic tax,SharmaKhemchand,BJP,GST,Agreement
an example of the sacrifice of subsidy on lpg is given to common people such works are done by modi government govtthatcares USER_MENTION,SharmaKhemchand,BJP,lgp price hike,Agreement
people gave up lpg subsidy because modi requested to help poor get lpg connections.ever heard of such trust USER_MENTION,SharmaKhemchand,BJP,lgp price hike,Agreement
the question of black money must be asked after year the law has been brought to anonymity the amount of black money deposited in banks will be accounted for USER_MENTION shahatindiatv,SharmaKhemchand,BJP,Demonetisation,Agreement
those who are opposing voting through evms are the one who have come to power through evm voting amitshah indiatvsamvaad shahatindiatv,SharmaKhemchand,BJP,EVM tampering,Disagreement
kejriwal conspiracy exposed evm machine shown in delhi assembly in the open market available in,SharmaKhemchand,BJP,EVM tampering,Disagreement
in oneyearofujjwala of more than crores bpl women got lpg connection which is higher than the target shows the pace of modi govt,SharmaKhemchand,BJP,lgp price hike,Agreement
innovative ideas of USER_MENTION USER_MENTION officers to remove the blocker of upfront cost of using lpg worked oneyearofujjwala,SharmaKhemchand,BJP,lgp price hike,Agreement
kejriwal believes that if the evm was a mess then the assembly elections in delhi were also cheated by kejriwal of the people of delhi dacoit_ kejriy,SharmaKhemchand,BJP,EVM tampering,Disagreement
mudrayojana mudra yojana is moving forward the spirit of enterprise and selfreliance between the youth and women of india a large number of monetary beneficiaries are women and youth of sc st and obc class communities which are highly excited,OmMathur_bjp,BJP,reservation,Agreement
adorned in welcome kashi honble pm USER_MENTION ji france president USER_MENTION is visiting varanasi on the ganges coast after years of strategic partnership of france and india in this visit to pm will pay tax on,OmMathur_bjp,BJP,GST,Agreement
suraj can grow from the west but congress can not stop the partys diplomacy in indias one nation one market mission the biggest tax reform in the world is to start rumors and spread the lies on gst be careful and see the facts of gst,OmMathur_bjp,BJP,GST,Agreement
congratulations to newindia for regaining the coveted fastestgrowing economy tag indiaonfasttrack as congratulations to newindia for regaining the coveted fastestgrowing economy tag indiaonfasttrack as economic prowess surpasses expectations with gdp growth rate jumping to in,OmMathur_bjp,BJP,GDP growth,Agreement
jai ho more than rs crore has been given as tax concessions to the salaried professionals and senior citizen in the budget you cannot name one budget under congress that has given such concession to the middle class fm USER_MENTION,OmMathur_bjp,BJP,GST,Agreement
economic survey live ahead of india budget finmin says gst brings out new findings on economy the financial express URL,OmMathur_bjp,BJP,GST,Agreement
namostedavos wef in world economic forum pm USER_MENTION counted five major achievements unnecessary legislation namostedavos wef in the world economic forum pm USER_MENTION counted major achievements nonessential legislation for financial inclusion jandhan accounts beto_batio_battie_expensive gst integrated tax system against solid postsexual discrimination for digital transactions,OmMathur_bjp,BJP,GST,Agreement
i was very sad when i came to know that a muslim girl in rampur nagar located in up was given the tripletalaq telling her the reason for the color opposition is liable for such unconstitutional cruel acts which are sticking political tricks by stall tripletalaqbill in the rajya sabha URL woman gets triple talaq for being dark in uttar pradeshs rampur will netas giver her dignity back tripletalaqoutrage,OmMathur_bjp,BJP,TripleTalaqBill,Agreement
shameoncongresscongresss gender parity amp challenging the empowerment of women tripletalaq bill in rajya sabha shameoncongress challenges the gender parity of congress and empowerment of women tripletalaq on the bill demanding the formation of such a select committee in the rajya sabha in which the entire ruling party they are not included in this never in indias history URL,OmMathur_bjp,BJP,Triple Talaq SC verdict,Agreement
congress is opposing muslim sisters tripletalaqbill for the purpose of avoiding and hanging the conspiracy in the rajya sabha using the number force and demand it to be sent to the select committee the bill could have stopped this bill in the lok sabha from these objections the congress is moving towards its zero,OmMathur_bjp,BJP,TripleTalaqBill,Agreement
good morning ten years ago her husband gave her tripletalaq after the lok sabha bill she got her husbands call that she should come back to her home and stay together he does not give thanks to the prime minister USER_MENTION ji positiveindiapic.twitter.com hca0sp1hkc,OmMathur_bjp,BJP,Triple Talaq SC verdict,Agreement
jai ho prime minister shri USER_MENTION government passes the historic the muslim women protection of rights on marriage bill in lok sabha to protect and uphold the dignity of muslim women,OmMathur_bjp,BJP,TripleTalaqBill,Agreement
tripletalak for indian women muslimwomenbill no less than jason the country was free on august and now muslim women are getting free,OmMathur_bjp,BJP,TripleTalaqBill,Agreement
the muslimwomenbill drawn up by a group headed by hm USER_MENTION ji makes instant tripletalaq in any form illegal void with reasonable deterrent for future offendersit should be seen from the perspective of prospective women rights everyone should support this,OmMathur_bjp,BJP,Triple Talaq SC verdict,Agreement
gujratverdict on gst egg on USER_MENTION face out of seats in industrial town of surat going to bjp is a huge endorsement of development and in nammo agenda,OmMathur_bjp,BJP,GST,Agreement
bjp4vikas bjp4gujarat our resolution will keep all the sections of the society together by increasing the gdp of gujarat by every year congress party is antidevelopment and divides society it will never be accepted in gujarat gujarat have not forgotten the wrong rule of congress,OmMathur_bjp,BJP,GDP growth,Agreement
congexposedonayodhya how is ayodhya dispute connected to lok sabha elections hon pm USER_MENTION reveals the true nature of the congress after all justice delayed is justice denied URL,OmMathur_bjp,BJP,Ram Mandir,Agreement
darshan purushottam lord sri ram ke ram lalla darshan ayodhya is one of the seven most sacred places for the hindus darshan purushottam lord shri ramas ram lalla ayodhya is one of the most sacred places for hindus in the rammandir case i will not be given any postponement after the hearing starting today under the chairmanship of justice deepak mishra,OmMathur_bjp,BJP,Ram Mandir,Agreement
birth pangs of demonitisation gst are left behind eight core infrastructure industries grew by birth pangs of demonitisation gst are left behind eight core infrastructure industries grew by in steel production rose followed by a growth acceleration in refinery products highest since,OmMathur_bjp,BJP,GST,Agreement
gujaratelections2017 dare you come to gujarat and abuse her pm USER_MENTION lashes out at congress in bhuj rally which has yet to recover from the shock of demonetisation gst govt bringing changed as required URL,OmMathur_bjp,BJP,GST,Agreement
ram janm bhoomi par rammandir hi banega aur kuch nahi banega unhi patharon se bangega unhi ki agvai mein banega jo iska jhanda utha kar pichle varshon se chal rahe hain rss sarsanghchalak param pujniya mohan bhagwat ji in udupi,OmMathur_bjp,BJP,Ram Mandir,Agreement
in we will reduce gst rate to just one slab of says USER_MENTION rahulgandhi current gst tax slab only items having tax URL,OmMathur_bjp,BJP,GST,Agreement
gst reset india inc is enthused as at prospects of consumer investors sentiments in a year which saw the gst reset india inc is enthused as at prospects of consumer investors sentiments in a year which saw the sensex breaking the glass ceiling with a surge of over points while nifty touched a record high while consumers see an increase in b2c businesses,OmMathur_bjp,BJP,GST,Agreement
in the gst council meeting chaired by the modi government USER_MENTION ji dedicated to the peoples wishes and devoted to public service the rate of gst decreased from slab to slabs on items only fiddly rates on the restaurant see full report URL gst council has made many big decisions common people get relief the rate of gst on items was reduced from slab to slabs refer to report URL for other decisions,OmMathur_bjp,BJP,GST,Agreement
antiblackmoneyday demonitization USER_MENTION was a personal tragedy for incindia.rahul needs to take rupees for the first time in the line drag his photo and then he went abroad to mourn his death URL status demonetization is a tragedy we stand with millions of honest indians whose lives livelihoods were destroyed by pms thoughtless act,OmMathur_bjp,BJP,Demonetisation,Agreement
demowins year of demonetisation sensex jumps points in months is it bad USER_MENTION the financial express URL,OmMathur_bjp,BJP,Demonetisation,Agreement
demowins a true game changer lead to surge in digital transactions higher tax compliance accelerating financialisation of savings.it helped modernise indian economy leading to unearthing of nearly suspect shell companies out of which have been,OmMathur_bjp,BJP,GST,Agreement
suprabhat antiblackmoneyday i bow to the people of india for steadfastly supporting the several measures taken by the government to eradicate corruption and black money antiblackmoneyday,OmMathur_bjp,BJP,Demonetisation,Agreement
demonetization demowins thousands of shell companies unearthed are now facing due legal as tax payments have surged sky high speak on panama papers and now paradisepapers and tell how demonetisation wins demowins bjp is making fun of indians by false claims,OmMathur_bjp,BJP,GST,Agreement
shyam aarti on the banks of sarayu river in ayodhya nagar pic.twitter.com emo_pos xqkcp3kj,OmMathur_bjp,BJP,Ram Mandir,Agreement
ayodhya yatra after hanuman garhi and sita ji appeared on ayodhya after seeing ramlallas visit to the temple of kanak temple shame hindus open sky virat jaleshwar mahadev nagaur USER_MENTION g wake up USER_MENTION in months reply no message months to do workshops bjp4india,OmMathur_bjp,BJP,Ram Mandir,Agreement
after the second days meeting of up local body elections in the path of ayodhya to visit ramlala i will join sareu aarti in the evening,OmMathur_bjp,BJP,Ram Mandir,Agreement
everyone knows the reality of ease of doing business but to keep the person happy dr jaitley is good to think USER_MENTION padmavati and USER_MENTION khilji along with USER_MENTION haider bhai am with you these USER_MENTION goons are backward thats what we are facing USER_MENTION is silent like it was on jan i am a nota guy and i stand with you,OmMathur_bjp,BJP,Padmavati film screening,Agreement
in a trailblazing show by stock markets the nifty bolted past for the first time a fitting reply to USER_MENTION when you go to URL narendra modi has given two torpedoes on the economy of hindustan notebinding and wrongly implemented gst has reached icu URL,OmMathur_bjp,BJP,GST,Agreement
all patriot indians to observe antiblack money on nov to mark the completion of year of demonetization bjp will observe money on november to mark the completion of one year of demonetization shri USER_MENTION,OmMathur_bjp,BJP,Demonetisation,Agreement
india vishwaguru lets make our dhanteras cashbased transactions into digital major catalyst for economic growth URL the worlds fastestgrowing economy india is on track to grow gdp a year in usd over the next decade msideas URL,OmMathur_bjp,BJP,GDP growth,Agreement
modi government does not care about the fact that she is always sensitive and devoted to the welfare of its citizens URL gst simplified for small businesses USER_MENTION cartoon gst,OmMathur_bjp,BJP,GST,Agreement
modi government does not care about the fact that he is always sensitive and devoted to the welfare of his citizens gst simplified for small businesses USER_MENTION cartoon gstpic.twitter.com kwrew1sty3,OmMathur_bjp,BJP,GST,Agreement
rajasthan hail very much congratulations to kapil meena of the winner of udaipur swachhatahiseva child is dedicated to the service of mother india URL through this prize winning painting kapil meena from udaiipur showcases how public participation can result in a clean village USER_MENTION,OmMathur_bjp,BJP,Swacch Bharat,Agreement
under the swachhatahiseva the conscious young ncc cadets of the country took out rallies about cleanliness and made street plays under the swachhatahiseva in delhi ncc cadets took out rallies about cleanliness in place and made street plays in some places,OmMathur_bjp,BJP,Swacch Bharat,Agreement
how are you working towards a clean your pictures with me on the nm app swachhatahiseva URL sir please examine consider my humble request appeal already submitapplication concern authoritys.im ur fan plz,OmMathur_bjp,BJP,Swacch Bharat,Agreement
congratulations to hon fm USER_MENTION gst goal exceeded in inaugural cr central cr congratulations to hon fm USER_MENTION gst goal exceeded in inaugural cr central cr state cr,OmMathur_bjp,BJP,GST,Agreement
triple_talaq what happy and happy muslim sisters have to say about prime minister tripletalaq unconstitutional watch what delighted muslim women have to say USER_MENTION,OmMathur_bjp,BJP,TripleTalaqBill,Agreement
govt welcomes verdict righttoprivacy should be subject to reasonable restrictions USER_MENTION privacywins govt welcomes verdict righttoprivacy should be subject to reasonable restrictions ravi shankar prasad law min,OmMathur_bjp,BJP,RightToPrivacy SC Verdict,Agreement
referring to gst pm USER_MENTION asked collectors to explain to traders how it is a good and simple tax via,OmMathur_bjp,BJP,GST,Agreement
during the current fiscal the increase in direct tax collections so far was a decrease of in refund,OmMathur_bjp,BJP,GST,Agreement
pm USER_MENTION ji flags off the historic train between the two holy cities of ayodhya and,OmMathur_bjp,BJP,Ram Mandir,Agreement
jai ho honble pm USER_MENTION ji will flag off a new express train from ayodhya to rameswaram via video conference,OmMathur_bjp,BJP,Ram Mandir,Agreement
to clear all rumours doing rounds clarity for small service whose annual turnover is below lakhs need not pay any gst and need not register,OmMathur_bjp,BJP,GST,Agreement
no gst on secondhand goods if sold cheaper URL via USER_MENTION,OmMathur_bjp,BJP,GST,Agreement
as per gst laws one is required to register july i implore all traders to register now without waiting for last,OmMathur_bjp,BJP,GST,Agreement
launched gst rate finder aap in the ministry of finance for gst related issues for business and customers gst rated finder mobile app,OmMathur_bjp,BJP,GST,Agreement
USER_MENTION releases app to check the gst rates for various goods and services for your convenience and fair play,OmMathur_bjp,BJP,GST,Agreement
indias rating is positive gst moodys,OmMathur_bjp,BJP,GST,Agreement
USER_MENTION USER_MENTION it will be a path defining reform for development gst is definitely a economic landma good morning a new morning a country a market with everyone everyones development the president pm USER_MENTION ji launching gst in,OmMathur_bjp,BJP,GST,Agreement
good morning a new morning a country a market with everyone everyones development the president amp pm USER_MENTION ji launch good morning a new morning a country a market with everyone everyones development the president pm USER_MENTION ji launching gst in parliamentpic.twitter com z6rnbfvv8d,OmMathur_bjp,BJP,GST,Agreement
at the stroke of midnight we roll out a gstfornewindia breaking all tax barriers between states for a single country and a single,OmMathur_bjp,BJP,GST,Agreement
as a sensitive govt always thinking on the go gst council reduces rate on tractor part from to providing panacea to farmers,OmMathur_bjp,BJP,GST,Agreement
after top gdp is the biggest equity fundraising market.since january ahead of china s korea brazil,OmMathur_bjp,BJP,GDP growth,Agreement
a precious opportunity for you whatever is the dilemma in your mind solve it country acresx country acrack finance minister USER_MENTION will answer your questions on gst USER_MENTION USER_MENTION askgst_goipic.twitter.com fbzbvmbowe,OmMathur_bjp,BJP,GST,Agreement
gst is not just a tax it markets the countrys markets in a single form gst is not just a tax it is a form of equality in the country which will work on the principle of a country a tax and a market pic.twitter.com s16dncfkqn,OmMathur_bjp,BJP,GST,Agreement
farmersfirst relief to farmers from modi government interest rate will now be given at interest rate of interest com vk5jexfgvo,OmMathur_bjp,BJP,nsc and ppf rate cuts,Agreement
cong the notice of the income tax department to the party kangress mla killed the police and threatens massacre rahul gandhi starts holidays over photo ops on vacation URL looking forward to spending some time with them,OmMathur_bjp,BJP,GST,Agreement
startupindia keyinitiatives to allow workers to become coowners with esops cr startup fund a year tax relief USER_MENTION sir i am a soldier my mother has been murdered for years since the cid has not been prosecuted by the cbi neither the cbi has two pic.twitter com nv1b1zfnyc,OmMathur_bjp,BJP,GST,Agreement
incredible as it may seem indias plus gdp growth narrative is attributed to pm USER_MENTION jis captaincy of leading from the front URL honble prime minister of india mr narendra modi with indian russian ceos at make in india lounge june st petersburg russia,OmMathur_bjp,BJP,GDP growth,Agreement
good morning national president USER_MENTION ji laid the foundation of new office from his tax dedication in the partys empowerment in thiruvananthapuram kerela,OmMathur_bjp,BJP,GST,Agreement
you earned rs rs tax people hide their money in desperation creating black economy culture,OmMathur_bjp,BJP,GST,Agreement
india is trending among the fabulous few with governance result in top gdp growth on global front today narendra modi has been years are you happy with his year work please vote to max,OmMathur_bjp,BJP,GDP growth,Agreement
acts of the up come visiting as delhi high court clears way for income tax department to investigate the nationalherald case,OmMathur_bjp,BJP,GST,Agreement
USER_MENTION an eminent writer oftales frm quran hadith fame articulates the distinction between the tripletalaq followed URL newstoday instant tripletalaq is not islamic and not given in the quran USER_MENTION,OmMathur_bjp,BJP,Triple Talaq SC verdict,Agreement
USER_MENTION even if you want to find a true cause USER_MENTION but if you want to find the true reason then get my booth from the president kejirwal may even tell you victory of evm but if he wants to find the true reason then go to my booth chair find mr amitshahpic.twitter.com geulvxe52y,OmMathur_bjp,BJP,EVM tampering,Disagreement
the federal structure of india states centre should work as team india for speedy gst the federal structure of india states centre should work as team india for speedy gst implementationUSER_MENTION,OmMathur_bjp,BJP,GST,Agreement
which day the poor of gharibs house ujjwalayojna or free power connection is made available from the same acchedin is the beginning of a good day https poverty in rural and urban areas in uttar pradesh free electricity connections will be made available to all families living below the line,OmMathur_bjp,BJP,acchedin,Agreement
muslim karkerak mahasabha for the construction of ram temple in ayodhya has been extended to help aim to help build a ram temple in ayodhya muslim karkerak manch extended his hand to help,OmMathur_bjp,BJP,Ram Mandir,Agreement
million poor families will get half the interest rate the government will end up with the same now it will start from the same time now in the new india antioodaya will be the only religion guides foreign women before entering the taj mahal the scarf was removed just because its color was saffron would anyone explain why,OmMathur_bjp,BJP,nsc and ppf rate cuts,Agreement
verdict by the muslim judge strongly repudiates tripletalaq explicitly calls legislative reform to mitigate verdict by the muslim judge strongly repudiates tripletalaq explicitly calls legislative reform to mitigate sufferings of muslim,OmMathur_bjp,BJP,Triple Talaq SC verdict,Agreement
what do radicalised fringe elements throwing stones petrol bombs do when pak religiously bombard kashmiri civilians URL jammu and kashmir all schools in naushera closed for the time being as ceasefire violation by pakistan continues in the area,OmMathur_bjp,BJP,hike in oil prices,Agreement
evm was hoping that the political party would honestly accept the decision of the people and introduce humility and ethics.but they are insulting the public URL evm and election commission but the people who put the question marks forget that this was the evm even during the upa1 and upaii and in the delhi assembly elections too,OmMathur_bjp,BJP,EVM tampering,Disagreement
evm was hoping that the political party would honestly accept the decision of the people and introduce humility and ethics.but they are insulting the public URL evm and election commission but the people who put the question marks forget that this was the evm even during the upa1 and upaii and in the delhi assembly elections too,OmMathur_bjp,BJP,EVM tampering,Disagreement
the mass movement towards digital transactions get a fresh impetus with launch of bhimaadhaar a swachbharat abhiyan against black money URL USER_MENTION launches bhimaadhaar to enable every single indian citizen to pay just with their thumb no internet wallet mobile needed,OmMathur_bjp,BJP,Demonetisation,Agreement
you can not get reelected to the rajyasabha with the number of mlas u have evmtampering is an excuse to get help from other parties URL will continue to take anti bjp help on evm mayawati URL,OmMathur_bjp,BJP,EVM tampering,Disagreement
aap__zarman_gaye is now an open challenge to the election commission hacking the evm in may USER_MENTION has also been invited URL bjp did tampering in evms on seats out of the seats where bjp was very weak mayawati,OmMathur_bjp,BJP,EVM tampering,Disagreement
obc mps of bjp thanked pm modi for giving constitutional status to backward class commission,OmMathur_bjp,BJP,reservation,Agreement
evmsnottamperable khasiany cat pillar boat people do not do well whether the opposition got votes in goa manipur it is also futile URL opposition leaders to meet election commission at pm over evm issue,OmMathur_bjp,BJP,EVM tampering,Disagreement
scholar zeenatshaukatali backs adding allah considers both the sexes is no gender discrimination in islam URL no mention of tripletalaq in quran islamicscholar backs salmaansari URL,OmMathur_bjp,BJP,Triple Talaq SC verdict,Agreement
as gst brings capital investment along with cheaper manufacturing it will eventually cascade into job creation as gst brings capital investment along with cheaper manufacturing it will eventually cascade into job creation gdp,OmMathur_bjp,BJP,GST,Agreement
gstbills eradicates indirect taxes notaxontax life will get tax credit will encourage tax gstbills eradicates indirect taxes notaxontax life will get tax credit will encourage tax complianceboosting,OmMathur_bjp,BJP,GST,Agreement
mcdelections oops it seems the shameful shoot scoot strategy of USER_MENTION has resulted in an open challenge thrown upon him URL i challenge thug USER_MENTION accept ec challenge nowprove tempering in evm or resign quit politics forever,OmMathur_bjp,BJP,EVM tampering,Disagreement
